Title,Author(s),Publisher,Year of Publication,ISBN-13 (or ISBN-10),DDC,obsolete1,Date Added,IDtag,class1,class2,class3,Description,DescSrc,Background,Foreground
The Time Traveler's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,Mortimer,Simon & Schuster,2008,978-1-4391-1290-8,942,,,1035,nonfiction,history,,"A time machine has just transported you back into the fourteenth century.  What do you see?  How do you dress?  How do you earn a living and how much are you paid?  What sort of food will you be offered by a peasant or a monk or a lord?  And more important, where will you stay?  The Time Traveler's Guide to Medieval England is not your typical look at a historical period.  This radical new approach shows us that the past is not just something to be studied; it is also something to be lived.",Book Back Cover,lemonchiffon,firebrick
From A to <A>: Keywords of Markup,Digler; Rice,University of Minesota Press,2010,978-0-8166-6609-6,6,,,1036,nonfiction,software-dev,,"As it becomes impossible to imagine a world without a World Wide Web, information organization, delivery, and production have converged on the simple principle of marking up information for given audiences.  From A to <A> investigates the relationship between media and culture by articulating questions regarding the role of markup.  How do the codes of HTML, CSS, PHP, and other markup languages affect the Web’s everyday uses?  How do these languages shape the Web’s communicative functions? ",Book Back Cover,dodgerblue,lemonchiffon
The Legacy of Steve Jobs,Fortune,Fortune,2011,978-1-61893-001-9,338,,,1037,nonfiction,history,,"Steve Jobs leaves behind an extraordinary legacy, putting him in a class with America’s greatest industrialists.  He was the most innovative business leader of our time, the man Fortune named CEO of the Decade in 2009.  Now, from Fortune comes the richly illustrated story of his life at the help of Apple, based in part on three decades of Fortune stories about the cultural icon who revolutionized computing, telephones, movies, music, retailing, and product design.",Book Back Cover,#555,white
HTML & CSS: Design and Build Websites,Duckett,"John Wiley & Sons, Inc.",2011,978-1-118-00818-8,6,,,1038,nonfiction,software-dev,,"Welcome to a nicer way to learn about HTML & CSS.  Whether you want to design and build websites from scratch or take more control over an existing site, this book will help you create attractive, user-friendly web content.  We understand that code can be intimidating, but take a look inside and you will see how this guide differs from many traditional programming books.",Book Back Cover,black,powderblue
I'm Feeling Lucky: The Confessions of Google Employee Number 59,Edwards,Houghton Mifflin Harcourt,2011,978-0-547-41699-1,338,,,1039,nonfiction,history,,,,,
Linguistic Anthropology,Danesi,Canadian Scholars' Press Inc.,2012,918-1-55130-489-2,306,,,1040,nonfiction,linguistics,,"Anthropologists have always put language at the centre of their agenda.  So too have linguists.  Linguistic anthropology, the amalgam of the two disciplines, aims to document and examine how language mirrors social structure and culture-specific thought patterns.",Book Back Cover,darkseagreen,black
Effective Java [Second Edition],Bloch,Addison-Wesley,2012,978-0-321-35668-0,5,,,1041,nonfiction,software-dev,,"Are you looking for a deeper understanding of the Java programming language so that you can write code that is clearer, more correct, more robust, and more reusable?  Look no further!  Effective Java, Second Edition, brings together seventy-eight indispensable programmer’s rules of thumb: working, best-practice solutions for the programming challenges you encounter every day.",Book Back Cover,white,cadetblue
Modern Compiler Design [Second Edition],Grune; Reeuwijk; Bal; Jacobs; Langendoen,Springer,2012,978-1-4614-4698-9,5,,,1042,nonfiction,software-dev,,"""Modern Compiler Design"" makes the topic of compiler design more accessible by focusing on principles and techniques of wide application. By carefully distinguishing between the essential (material that has a high chance of being useful) and the incidental (material that will be of benefit only in exceptional cases) much useful information was packed in this comprehensive volume. The student who has finished this book can expect to understand the workings of and add to a language processor for each of the modern paradigms, and be able to read the literature on how to proceed. The first provides a firm basis, the second potential for growth. ",Publisher Website,steelblue,white
"App Empire: Make Money, Have a Life, and Let Technology Work for You",Mureta,"John Wiley & Sons, Inc.",2012,978-1-118-10787-4,5,,,1043,nonfiction,business,,,,,
Brain Puzzlers,Sloane; MacHale,Sterling Publishing,2013,978-1-4351-4649-5,793,,,1045,nonfiction,,,"Enter the out-of-the-ordinary, mysterious, fun world of lateral thinking puzzles.  Here, circumstances are anything but normal.  This is how each puzzle works: one person, who looks at the solution, takes questions from the other players who must use their imaginations, piece together subtle clues, and come at the problem from a variety of perspectives.",Book Back Cover,navy,sandybrown
Javascript & Jquery: Interactive Front-End Web Development,Duckett,"John Wiley & Sons, Inc.",2014,978-1-118-53164-8,5,,,1047,nonfiction,software-dev,,,,,
My Galaxy Note 3,Johnston; Hart-Davis,Pearson Education,2014,978-0-7897-5276-5,4,,,1048,nonfiction,manuals,,Step-by-step instructions with callouts to Samsung Galaxy Note 3 photos that show you exactly what to do; Help when you run into Samsung Galaxy Note 3 problems or limitations; Tips and notes to help you get the most from you Samsung Galaxy Note 3.,Book Back Cover,lightcyan,black
Secrets of Making and Breaking Codes,Nickels,Skyhorse Publishing,2014,978-1-62914-206-7,652,,,1049,nonfiction,,,,,,
Take a Ball of String: 16 Beautiful Projects for your Home,Schlee,Guild of Master Craftsman Pub.,2015,978-1-86108-793-5,746,,,1052,nonfiction,crafts,,,,,
Losing the Signal,McNish; Silcoff,Flatiron,2015,978-1-250-06017-4,338,,,1053,nonfiction,history,,,,,
"Light the Dark: Writers on Creativity, Inspiration, and the Artistic Process",Fassler,Penguin Books,2017,9781524704643,153,,,1054,nonfiction,literature,,Fourty-six of the most acclaimed and exciting authors working today answer a simple yet profound question: What inspires you?,Book Back Cover,lemonchiffon,black
Fundamentals of Electric Circuits [6th Edition],Alexander; Sadiku,McGraw Hill,2017,978-0-07-802822-9,621,,,1055,nonfiction,engineering,,"Alexander and Sadiku's sixth edition of Fundamentals of Electric Circuits continues in the spirit of its successful previous editions, with the objective of presenting circuit analysis in a manner that is clearer, more interesting, and easier to understand than other, more traditional texts. Students are introduced to the sound, six-step problem solving methodology in chapter one, and are consistently made to apply and practice these steps in practice problems and homework problems throughout the text",Publisher Website,midnightblue,antiquewhite
I Love My Computer Because My Friends Live In It,Leslie,Running Press,2017,978-0-7624-6171-4,302,,,1056,nonfiction,,,,,,
Eat Your Words: A Fascinating Look at the Language of Food,Jones,Delacorte,2018,978-1-5247-6681-8,641,,,1057,nonfiction,linguistics,,"Did you know that you could once buy a camel for 120 bricks of tea?  And you must be wondering why it’s called a hamburger when there’s no ham in it.  The words hot dog, lollipop, and eggplant all have surprising origin stories, too!",Book Back Cover,lightcyan,darkred
The Poisoned City: Flint’s Water and the American Urban Tragedy,"Clark, Anna",Picador,2018,978-1-250-18161-9,363,,,1058,nonfiction,history,,"When the people of Flint, Michigan, turned on their faucets in April 2014, the water pouring out was poisoned with lead and other toxins.  Through a series of disastrous decisions, the state government had switched the city’s water supply to a source that corroded Flint’s aging lead pipes.  Complaints about foul-smelling water were dismissed: the residents of Flint, mostly poor and African American, were not seen as credible, even in matters of their own lives.",Book Back Cover,cadetblue,lemonchiffon
"This Idea is Brilliant: Lost, Overlooked, and Underappreciated Scientific Concepts Everyone Should Know",Brockman,Harper Perennial,2018,978-0-06-269821-6,500,,,1059,nonfiction,,,,,,
Discrete Mathematics [5th Edition],Dossey; Otto; Spence; Vanden Eynden,Pearson,2018,978-0-134-68956-2,511,,,1060,nonfiction,mathematics,,Today and increasing proportion of the applications of mathematics involves discrete rather than continuous models.  The main reason for this trend is the integration of the computer into more and more of modern society.  This book is intended for a one-semester introductory course in discrete mathematics.,Book Preface,black,salmon
Elementary Linear Algebra [Ninth Edition],Kolman; Hill,Pearson,2018,9780134718538,512,,,1061,nonfiction,mathematics,,"Linear algebra is an important course for a diverse number of students for at least two reasons.  First, few subjects can claim to have such widespread applications in other areas of mathematics-multivariable calculus, differential equations, and probability, for example – as well as in physics, biology, chemistry, economics, finance, psychology, sociology, and all fields of engineering.  Second, the subject presents the student at the sophomore level with an excellent opportunity to learn how to handle abstract concepts.",Book Preface,white,mediumblue
The Best Résumés for Scientists and Engineers,Lewis,"John Wiley & Sons, Inc.",1988,0-471-62768-2,,,08-06-2025,2501,nonfiction,business,,"A résumé that works for a business person probably wont work for a scientist or engineer.  The technical professional’s résumé has a format, tone, length, and vocabulary all its own.  Now Adele Lewis, founder of one of the largest professional recruiting firms in the country and author of bestselling résumé guides for a variety of targeted professionals shows you – the engineer, academic, or computer scientist – how to write the kind of résumé that makes you stand out.",Book Back Cover,midnightblue,salmon
Minecraft Essential Handbook,Milton; Maron; Soares,Scholastic,2013,978-0-545-68314-2,793,,,1044,nonfiction,Video-games,,,,,
Minecraft Construction Handbook,Needler; Southam,Scholastic,2014,978-0-545-77610-3,793,,,1050,nonfiction,Video-games,,,,,
"The Motorola MC 68000 Microprocessor Family: Assembly Language, Interface Design, and System Design [2nd Edition]",Harman; Hein,Prentice Hall,1996,0-13-158742-0,4,,,1062,nonfiction,engineering,,"This important revision was written to introduce both students and the practicing computer professional to the characteristics of the Motorola 68000 family of processors.  It has been widely applauded as a text that is practical, easy to read, and designed to educate students regarding concepts as well as applied theory.  In addition, this book will prove helpful as a reference in which topics are organized according to function and importance for the design of programs, interfaces, or systems.",Book Back Cover,white,black
Hacks for Minecrafters: The Unofficial Guide to Tips and Tricks That Other Guides Won’t Teach You,Miller,Hollan Publishing,2014,9781632204400,,,,1063,nonfiction,Video-games,,"With more than 100 million registered players, Minecraft has taken control of gamers all over the world.  With Hacks for Minecrafters, you’ll be able to take back that control!  Only with the help found in hacks for Minecrafters will you be able to craft your world exactly how you want it to look, all while discovering the hidden gems of the game.",Book Back Cover,black,salmon
